NO,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W15:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W07:[CH#1]chamber heater press,W09:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W15:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W24:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W15:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press,W05:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W18:[CH#1]chamber heater press,W20:[CH#1]chamber heater press,W22:[CH#1]chamber heater press,W24:[CH#1]chamber heater press,W14:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W18:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W12:[CH#1]chamber heater press,W14:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W18:[CH#1]chamber heater press,W20:[CH#1]chamber heater press,W22:[CH#1]chamber heater press,W24:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W12:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W12:[CH#1]chamber heater press,W14:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press,W24:[CH#1]chamber heater press,W09:[CH#1]chamber heater press,W05:[CH#1]chamber heater press,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W07:[CH#1]chamber heater press,W09:[CH#1]chamber heater press,W11:[CH#1]chamber heater press,W13:[CH#1]chamber heater press,W15:[CH#1]chamber heater press,W17:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W24:[CH#1]chamber heater press,
78,10735,10997,11383,11784,11933,12135,12147,12262,12262,12314,12314,12314,12353,10198,10656,11759,11089,11407,11649,11808,12173,12021,12033,12058,12135,12046,9497,9820,10262,10348,10601,10656,10997,10837,11159,11136,11371,11527,11624,11600,10262,10392,11858,10997,11288,9759,10018,10273,10155,9497,10623,10187,10623,10905,11360,11552,11895,11846,12046,11958,12109,12109,12160,12008,12008,8974,9241,9487,9708,9556,9882,9536,9779,10155,10545,10848,11229,11383,11515,11858,11958,12008,12058,9408,9145,9677,10545,9965,10273,10091,10435,10679,10634,10905,10928,11136,11467,11685,11527,
79,10814,11054,11467,11858,12033,12185,12173,12288,12314,12314,12353,12275,12314,10262,10712,11784,11147,11527,11759,11883,12173,12058,12058,12058,12122,12046,9536,9882,10327,10392,10679,10746,11078,10905,11229,11253,11467,11612,11722,11673,10327,10457,11895,11043,11360,9810,10049,10348,10187,9546,10679,10230,10679,10997,11455,11649,11958,11920,12084,12008,12109,12135,12147,12008,12033,9012,9261,9517,9738,9607,9945,9577,9841,10176,10556,10905,11277,11479,11588,11895,11958,12046,12084,9457,9174,9698,10645,10028,10370,10198,10545,10769,10780,10997,11066,11253,11527,11710,11588,
80,10859,11124,11527,11958,12084,12211,12224,12314,12314,12314,12314,12275,12365,10327,10780,11858,11241,11588,11833,11958,12147,12058,12096,12109,12147,12058,9556,9924,10370,10457,10735,10791,11159,10985,11324,11300,11515,11673,11808,11784,10370,10545,11933,11136,11467,9862,10113,10392,10219,9577,10746,10273,10769,11043,11479,11710,12008,11958,12109,12033,12160,12147,12185,12033,12058,9031,9309,9536,9759,9617,9965,9617,9903,10251,10634,10939,11360,11564,11673,11958,12033,12071,12084,9467,9222,9738,10724,10113,10446,10251,10612,10893,10859,11124,11159,11360,11564,11759,11612,
81,10928,11194,11600,11983,12109,12262,12262,12353,12314,12327,12353,12301,12353,10392,10837,11895,11324,11685,11883,12008,12198,12084,12109,12122,12147,12109,9607,9986,10446,10523,10814,10893,11229,11054,11419,11371,11588,11759,11858,11846,10457,10590,12008,11171,11539,9913,10155,10457,10284,9617,10791,10348,10814,11136,11564,11784,12021,12008,12135,12084,12147,12198,12185,12046,12084,9050,9319,9577,9810,9667,10018,9677,9945,10273,10712,11066,11443,11649,11722,12008,12046,12109,12109,9517,9222,9779,10791,10176,10512,10370,10724,10997,10997,11229,11277,11419,11612,11771,11649,
82,10997,11277,11685,12058,12185,12262,12275,12314,12353,12365,12353,12314,12353,10457,10905,11945,11371,11759,11958,12046,12185,12122,12122,12109,12147,12109,9657,10028,10457,10590,10859,10962,11288,11112,11515,11467,11673,11808,11958,11933,10501,10634,12008,11277,11588,9945,10208,10501,10338,9698,10859,10381,10893,11218,11649,11883,12058,12058,12135,12096,12173,12211,12185,12058,12084,9097,9358,9607,9872,9698,10060,9708,9986,10338,10780,11089,11515,11710,11833,12033,12084,12122,12135,9536,9261,9841,10893,10273,10612,10435,10825,11112,11089,11348,11360,11467,11637,11784,11685,
83,11078,11324,11734,12109,12211,12262,12301,12353,12353,12365,12353,12275,12365,10523,10939,12008,11467,11808,11958,12058,12185,12135,12122,12135,12211,12109,9708,10091,10545,10634,10905,11066,11371,11194,11564,11564,11734,11870,11958,12033,10567,10712,12021,11360,11649,9986,10251,10590,10370,9718,10928,10479,10939,11288,11710,11945,12058,12058,12160,12135,12211,12211,12173,12084,12109,9145,9378,9617,9903,9749,10102,9749,10028,10381,10814,11182,11588,11759,11858,12058,12109,12160,12147,9607,9319,9872,10939,10370,10679,10590,10905,11218,11171,11395,11443,11527,11710,11808,11685,
84,11112,11395,11796,12160,12262,12301,12340,12365,12353,12353,12353,12275,12353,10545,11020,12021,11552,11895,12033,12058,12160,12160,12160,12147,12173,12135,9738,10113,10590,10679,10997,11112,11467,11277,11612,11612,11808,11945,12021,12084,10634,10769,12046,11443,11759,10028,10273,10634,10414,9800,10997,10523,11043,11371,11821,11958,12109,12109,12185,12160,12185,12211,12211,12096,12109,9145,9417,9667,9945,9779,10155,9800,10028,10446,10859,11253,11637,11784,11945,12058,12122,12198,12160,9617,9388,9913,11078,10446,10814,10645,11008,11277,11288,11467,11515,11552,11759,11808,11710,
85,11171,11467,11858,12185,12275,12314,12340,12314,12365,12314,12353,12314,12365,10601,11089,12046,11612,11958,12046,12096,12160,12147,12135,12160,12160,12109,9779,10176,10623,10769,11066,11182,11515,11324,11710,11673,11858,11958,12058,12122,10679,10837,12058,11515,11808,10070,10338,10690,10490,9820,10997,10590,11089,11407,11858,12033,12135,12122,12198,12185,12211,12211,12211,12084,12096,9184,9437,9708,9986,9810,10198,9831,10091,10501,10928,11324,11698,11808,11958,12071,12173,12173,12160,9698,9408,9945,11159,10545,10905,10746,11124,11360,11395,11515,11552,11564,11759,11796,11722,
86,11229,11527,11958,12211,12288,12314,12340,12365,12353,12365,12365,12301,12353,10656,11147,12084,11685,11958,12058,12122,12185,12160,12147,12135,12160,12160,9820,10241,10679,10814,11089,11253,11588,11407,11784,11722,11920,12033,12058,12160,10757,10893,12058,11576,11858,10113,10370,10746,10512,9872,11089,10634,11159,11491,11895,12058,12147,12135,12173,12173,12211,12237,12198,12096,12109,9222,9477,9738,10028,9841,10198,9862,10155,10545,10985,11383,11759,11858,12008,12109,12147,12185,12211,9698,9417,9986,11277,10656,10997,10859,11229,11407,11443,11527,11588,11564,11796,11808,11759,
87,11288,11588,11958,12211,12275,12340,12365,12365,12365,12365,12365,12314,12365,10724,11182,12058,11734,12021,12096,12135,12147,12198,12160,12147,12173,12160,9882,10273,10769,10893,11159,11324,11661,11467,11808,11808,11958,12033,12084,12185,10814,10939,12096,11649,11908,10176,10414,10791,10545,9924,11136,10701,11229,11564,11958,12058,12147,12135,12185,12211,12173,12211,12185,12109,12122,9222,9507,9779,10091,9903,10262,9903,10176,10590,11066,11467,11784,11883,12046,12135,12185,12198,12173,9759,9477,10018,11324,10712,11043,10928,11288,11455,11491,11564,11612,11588,11808,11808,11734,
88,11360,11637,12071,12262,12314,12353,12365,12365,12340,12353,12353,12288,12353,10780,11277,12084,11808,12058,12109,12147,12173,12185,12147,12135,12147,12160,9924,10348,10814,10928,11206,11371,11734,11564,11858,11858,12008,12046,12109,12237,10859,10997,12109,11710,11920,10198,10457,10848,10612,9997,11194,10757,11288,11637,12008,12096,12173,12160,12173,12185,12211,12262,12211,12096,12135,9241,9507,9779,10113,9924,10327,9945,10208,10656,11089,11527,11784,11895,12058,12147,12211,12211,12173,9779,9497,10049,11407,10825,11136,10997,11407,11515,11576,11600,11612,11612,11808,11808,11759,
89,11395,11722,12084,12288,12314,12314,12365,12365,12365,12353,12365,12340,12340,10837,11288,12122,11858,12084,12109,12185,12173,12211,12147,12147,12160,12147,9955,10403,10848,10997,11277,11443,11784,11624,11945,11895,12008,12058,12109,12262,10905,11066,12122,11784,11958,10241,10545,10905,10656,9986,11229,10791,11360,11710,12046,12109,12198,12173,12185,12185,12211,12262,12185,12109,12135,9300,9546,9810,10176,9945,10338,9955,10241,10690,11159,11588,11846,11920,12058,12147,12211,12224,12185,9820,9536,10091,11467,10928,11253,11089,11467,11527,11588,11600,11649,11612,11808,11808,11759,
90,11467,11759,12160,12275,12353,12365,12365,12365,12365,12353,12353,12314,12365,10859,11395,12109,11920,12109,12122,12185,12173,12160,12160,12147,12147,12160,10007,10414,10916,11066,11324,11515,11846,11698,11958,11958,12046,12084,12160,12262,10974,11089,12147,11833,11958,10262,10590,10939,10679,10049,11288,10859,11419,11759,12058,12135,12185,12173,12198,12211,12185,12237,12185,12109,12147,9309,9556,9862,10219,9986,10381,9976,10273,10769,11229,11637,11846,11933,12084,12173,12185,12211,12211,9862,9536,10113,11539,10997,11288,11159,11515,11527,11612,11637,11649,11612,11846,11796,11759,
91,11515,11846,12211,12288,12353,12365,12365,12365,12353,12353,12365,12275,12327,10939,11443,12135,11958,12122,12160,12173,12173,12185,12160,12160,12122,12147,10028,10501,10939,11089,11395,11564,11883,11734,12008,12008,12058,12084,12147,12275,10997,11171,12122,11883,12046,10338,10634,10997,10757,10091,11360,10859,11515,11808,12058,12147,12185,12185,12198,12185,12185,12224,12198,12109,12135,9339,9577,9862,10273,10018,10381,9986,10327,10814,11277,11698,11858,11958,12109,12160,12211,12211,12185,9882,9597,10155,11588,11089,11371,11253,11564,11564,11649,11649,11685,11588,11858,11808,11759,
92,11564,11858,12211,12314,12340,12353,12365,12365,12353,12353,12353,12275,12314,10974,11467,12160,12033,12135,12147,12198,12173,12211,12185,12147,12109,12160,10060,10545,10997,11159,11467,11637,11958,11796,12058,12033,12084,12109,12173,12314,11101,11241,12147,11958,12033,10348,10634,10997,10814,10123,11407,10928,11527,11858,12109,12160,12185,12185,12173,12211,12211,12211,12198,12084,12160,9358,9607,9903,10316,10028,10457,10028,10338,10859,11324,11759,11908,11958,12135,12185,12198,12262,12185,9903,9617,10198,11637,11159,11407,11360,11612,11600,11661,11637,11710,11600,11808,11759,11759,
93,11612,11945,12224,12353,12353,12365,12365,12365,12353,12340,12365,12275,12365,11008,11552,12160,12058,12135,12147,12211,12173,12211,12185,12160,12135,12147,10113,10590,11043,11218,11515,11685,11958,11846,12046,12058,12058,12122,12147,12314,11124,11277,12160,12008,12058,10381,10679,11078,10814,10187,11431,10939,11600,11908,12135,12147,12211,12211,12160,12211,12185,12237,12198,12109,12135,9368,9617,9945,10327,10070,10457,10049,10381,10893,11395,11784,11895,11958,12147,12147,12198,12237,12185,9924,9637,10219,11661,11241,11467,11371,11661,11588,11710,11649,11698,11588,11808,11759,11771,
94,11649,11958,12262,12314,12353,12353,12365,12365,12353,12365,12365,12275,12353,11078,11600,12147,12058,12160,12185,12198,12147,12211,12147,12147,12135,12160,10155,10634,11089,11277,11527,11759,12021,11908,12058,12058,12096,12147,12185,12314,11159,11360,12185,12033,12058,10446,10690,11136,10859,10198,11515,10997,11661,11958,12109,12185,12211,12211,12198,12211,12211,12211,12185,12109,12160,9368,9617,9945,10370,10113,10523,10091,10414,10939,11407,11808,11920,11958,12173,12198,12211,12211,12185,9976,9677,10219,11710,11312,11467,11443,11698,11612,11710,11685,11685,11612,11846,11710,11759,
95,11734,12021,12275,12353,12353,12365,12365,12353,12353,12314,12353,12275,12353,11136,11637,12185,12096,12160,12173,12198,12173,12185,12160,12147,12135,12160,10198,10679,11136,11336,11588,11796,12058,11945,12084,12058,12135,12135,12173,12314,11229,11395,12147,12058,12084,10457,10746,11171,10905,10241,11527,11066,11710,12008,12160,12185,12211,12211,12198,12211,12160,12211,12198,12135,12147,9408,9657,9965,10414,10113,10545,10113,10446,10997,11467,11808,11933,12008,12185,12185,12237,12211,12211,9976,9708,10273,11710,11371,11539,11491,11734,11612,11710,11685,11722,11624,11833,11710,11771,
96,11759,12058,12275,12353,12365,12340,12365,12353,12314,12314,12353,12275,12327,11159,11685,12198,12109,12185,12185,12211,12185,12173,12160,12160,12147,12135,10230,10724,11171,11395,11649,11858,12058,11958,12096,12084,12109,12147,12198,12353,11277,11455,12211,12058,12058,10501,10791,11206,10951,10273,11588,11112,11759,12046,12173,12211,12185,12185,12198,12211,12185,12224,12211,12109,12147,9408,9677,9986,10446,10155,10545,10113,10479,10997,11527,11846,11933,11958,12198,12185,12211,12211,12198,9986,9708,10316,11759,11407,11564,11515,11734,11661,11734,11698,11685,11612,11808,11649,11784,
97,11808,12109,12314,12365,12353,12353,12417,12353,12340,12353,12340,12275,12314,11229,11759,12198,12122,12198,12198,12211,12173,12211,12160,12160,12109,12135,10262,10780,11229,11407,11685,11895,12109,12008,12109,12109,12109,12173,12211,12353,11288,11467,12198,12109,12084,10545,10837,11241,10997,10305,11612,11124,11808,12058,12160,12211,12211,12211,12211,12211,12198,12211,12198,12109,12147,9427,9708,10028,10479,10166,10590,10155,10523,11066,11564,11883,11958,12008,12198,12211,12211,12211,12198,10007,9738,10338,11206,11467,11588,11564,11759,11649,11759,11698,11698,11624,11796,11673,11808,
98,11883,12135,12275,12365,12353,12365,12417,12365,12353,12314,12353,12275,12314,11277,11784,12211,12160,12211,12173,12198,12147,12185,12147,12160,12135,12160,10273,10825,11277,11467,11734,11958,12135,12033,12109,12122,12109,12173,12185,12353,11360,11527,12185,12084,12084,10545,10859,11288,11043,10327,11685,11171,11858,12084,12198,12185,12211,12211,12173,12211,12173,12237,12185,12084,12147,9437,9708,10028,10501,10187,10612,10176,10545,11089,11612,11908,11945,11958,12198,12211,12211,12224,12185,10028,9759,10348,2145,11467,11612,11564,11808,11637,11710,11685,11710,11624,11784,11649,11796,
99,11908,12185,12314,12365,12365,12353,12417,12365,12353,12353,12340,12275,12353,11277,11858,12211,12147,12211,12185,12198,12160,12173,12147,12160,12147,12147,10338,10859,11324,11515,11796,11958,12147,12021,12122,12109,12122,12173,12198,12353,11371,11564,12185,12109,12109,10590,10893,11324,11066,10370,11710,11206,11883,12096,12211,12198,12198,12211,12211,12211,12211,12224,12185,12109,12135,9457,9738,10070,10556,10219,10656,10198,10545,11112,11673,11908,11958,12008,12211,12185,12211,12224,12185,10039,9779,10381,837,11515,11637,11588,11808,11661,11759,11710,11710,11649,11759,11661,11808,
100,11958,12211,12314,12365,12353,12353,12417,12314,12314,12353,12340,12262,12340,11360,11883,12211,12160,12224,12160,12198,12160,12198,12147,12147,12135,12135,10370,10893,11348,11576,11846,12033,12173,12058,12109,12135,12147,12173,12211,12365,11455,11600,12211,12122,12109,10623,10939,11360,11112,10392,11759,11253,11945,12109,12211,12211,12185,12211,12147,12211,12185,12211,12173,12096,12135,9477,9759,10070,10545,10230,10668,10198,10590,11147,11685,11933,11958,12008,12224,12198,12211,12211,12185,10060,9810,10392,428,11515,11649,11612,11796,11685,11759,11710,11734,11661,11710,11649,11846,
101,11983,12237,12340,12378,12353,12365,12417,12314,12314,12340,12353,12262,12314,11371,11895,12211,12185,12262,12147,12211,12160,12173,12147,12147,12147,12109,10403,10928,11383,11612,11870,12058,12211,12058,12109,12147,12109,12173,12211,12365,11467,11649,12198,12147,12135,10645,10985,11371,11136,10414,11771,11277,11958,12147,12211,12211,12198,12211,12160,12211,12185,12211,12185,12109,12122,9497,9779,10102,10590,10262,10701,10219,10601,11206,11722,11958,11958,12008,12185,12211,12211,12211,12173,10113,9820,10414,299,11527,11673,11685,11808,11698,11734,11722,11722,11637,11710,11661,11858,
102,12046,12237,12365,12365,12365,12365,12417,12314,12340,12314,12314,12275,12314,11431,11958,12224,12211,12224,12160,12185,12173,12185,12147,12147,12109,12135,10414,10951,11455,11661,11920,12058,12198,12084,12135,12160,12109,12160,12185,12365,11515,11710,12224,12160,12135,10690,11020,11467,11171,10457,11846,11288,12033,12147,12211,12224,12211,12211,12160,12224,12185,12237,12173,12109,12109,9497,9779,10113,10623,10284,10724,10241,10656,11277,11771,11958,11958,12033,12224,12185,12211,12224,12160,10113,9851,10446,214,11564,6486,3099,9617,10262,11759,11722,11710,11649,4374,7550,2387,
103,12058,12262,12365,12353,12353,12365,12417,12327,12353,12340,12314,12275,12340,11467,11958,12224,12211,12224,12198,12211,3232,12185,12160,12147,12122,12109,10457,11043,11467,11710,11945,12058,12211,12084,12147,12135,12135,12160,12211,12365,11527,11722,3496,12185,12109,10712,11043,11467,11218,10501,11858,11324,12058,12160,12224,12262,12211,12211,12147,12211,12185,12237,12198,12109,12122,9507,9769,10134,10634,10316,10769,10241,10656,11277,11808,11958,12008,12021,12211,12198,12211,12211,12185,10113,9882,10457,166,2853,1328,1198,1495,1530,2997,3551,5816,2495,1170,1387,885,
104,12122,12237,12365,12365,12365,12365,12417,12340,12314,12314,12314,12262,12340,11515,12008,12224,12211,12224,12160,12198,1048,12185,12147,12147,12109,12109,10501,11043,11527,11759,11958,12109,12211,12084,12147,12160,12135,12185,12185,12365,11588,11771,1082,12173,12147,10746,11078,11515,11277,10545,11908,11383,12058,12198,12211,12237,12224,12211,12160,12211,12198,12262,12185,12084,12109,9507,9779,10134,10668,10327,10791,10251,10679,11300,11808,11970,12008,12033,12211,12211,12211,12211,12160,10176,9893,10490,141,994,597,550,757,770,1176,1271,1283,914,538,537,497,
105,12147,12275,12365,12365,12365,12365,12417,12365,12327,12314,12314,12262,12314,11527,12046,12211,12237,12237,12147,12198,560,12198,12135,12122,12135,12109,10545,11089,11564,11771,12008,12109,12224,12109,12135,12160,12147,12160,12185,12378,11612,11796,579,12173,12160,10814,11089,11552,11277,10545,11958,11419,12071,12211,12262,12237,12211,12237,12147,12237,12198,12224,12185,12109,12122,9536,9779,10176,10701,10327,10814,10273,10712,11360,11846,11958,12008,12058,12211,12185,12185,12211,12173,10176,9913,10523,120,474,380,358,403,406,543,576,669,506,352,323,306,
106,12211,12275,12365,12391,12365,12365,12417,12314,12275,12353,12314,12262,12353,11564,12058,7127,12262,12224,12147,12211,333,12160,12135,12135,12109,12109,10545,11124,11612,11846,12058,12147,12211,12109,12147,12135,12109,12147,12185,12365,11637,11846,340,12211,12147,10825,11124,11564,11324,10545,11958,11443,12109,12211,12262,12262,12224,12262,12135,12224,12211,12262,12198,12109,12122,9536,9820,10176,10724,10338,10837,10305,10757,11371,11846,11958,12021,12058,12211,12211,12198,12211,12160,10187,9945,10523,107,322,255,243,266,267,325,337,372,310,241,241,231,
107,12262,12275,12391,12365,12365,12391,12417,12314,12314,12314,12314,12275,12275,11612,12058,1675,12211,12211,12160,12185,232,12147,12135,12147,12109,12122,10601,11147,11649,11858,12058,12147,12224,12109,12147,12147,12122,12147,12185,12365,11698,11883,237,12211,12160,10848,11171,11588,11371,10590,12008,11467,12109,12211,12262,12262,12224,12237,12135,12237,12211,12224,12211,12084,12109,9546,9820,10198,10757,10338,10871,10338,10780,11395,11870,12033,12033,12058,12211,12198,12211,12211,12147,10208,9955,10545,87,226,189,183,196,207,242,249,251,220,182,182,176,
108,12262,12275,12378,12365,12353,12391,12404,12314,12301,12275,12314,12275,12314,11649,12058,710,12262,12211,12147,12211,186,12160,12135,12109,12135,12109,10623,11182,11685,11858,12058,12160,12262,12109,12147,12173,12135,12160,12185,12365,11710,11895,189,12185,12173,10893,11159,11637,11360,10612,12008,11515,12109,12211,12262,12224,12211,12262,12122,12237,12211,12262,12198,12084,12135,9556,9820,10198,10769,10348,10859,10327,10814,11431,11908,12033,12021,12058,12211,12211,12185,12198,12147,10219,9955,10545,67,182,158,153,162,162,183,186,198,178,152,146,143,
109,12275,12275,12404,12391,12353,12430,12417,12275,12314,12314,12288,12262,12314,11710,12096,389,12262,12237,12147,12198,150,12147,12135,12122,12109,12109,10668,11218,11710,11920,12084,12185,12224,12135,12147,12160,12135,12160,12198,12365,11759,11958,151,12185,12198,10893,11194,11649,11395,10634,12058,11552,12109,12224,12262,12237,12262,12237,11858,12262,12211,12262,12198,12109,12122,9567,9851,10219,10814,10381,10905,10348,10814,11467,11908,12033,12021,12058,12211,12211,12198,12211,12147,10241,9986,10590,56,146,131,128,133,133,147,149,156,144,127,126,124,
110,12275,12301,12391,12365,12365,12365,12365,12314,12314,12275,12314,12262,12314,11734,12096,278,12262,12211,12185,12185,125,12147,12135,12135,12109,12135,10679,11241,11722,11958,12096,12211,12211,12135,12160,12173,12122,12173,12211,12365,11808,11958,126,12211,12211,10939,11241,11685,11443,10668,12058,11600,12135,12211,12262,12237,12211,12262,1969,12262,12211,12237,12185,12084,12122,9607,9862,10241,10814,10381,10928,10370,10837,11515,11958,12046,12033,12058,12211,12198,12198,12198,12147,10241,9986,10601,46,123,112,110,113,117,127,129,129,113,109,109,107,
111,12275,12314,12391,12365,12353,12365,12391,12314,12314,12314,12314,12237,12275,11759,12135,204,12262,12224,12147,12185,111,12160,12109,12109,12122,12084,10724,11288,11771,12008,12096,12211,12211,12135,12160,12160,12122,12160,12224,12365,11846,12008,112,12173,12185,10939,11277,11710,11479,10656,12084,11612,12173,12237,12262,12262,12224,12237,789,12224,12173,12211,12185,12109,12109,9597,9872,10241,10859,10414,10939,10381,10837,11515,11933,12058,12021,12046,12185,12185,12198,12211,12147,10273,10028,10623,39,109,101,97,93,102,109,111,114,102,97,91,88,
112,12314,12314,12378,12365,12365,12391,12365,12314,12327,12288,12314,12262,12275,11796,12109,160,12237,12211,12160,12173,96,12160,12109,12147,12109,12109,10735,11300,11784,12008,12109,12211,12237,12135,12147,12160,12109,12160,12185,12365,11846,12008,97,12211,12185,10997,11288,11734,11467,10701,12084,11673,12160,12262,12262,12224,12211,12237,460,12224,12185,12211,12211,12109,12109,9607,9924,10273,10859,10414,10951,10381,10859,11527,11958,12058,12033,12058,12185,12185,12211,12211,12109,10273,10028,10634,34,92,77,75,76,80,92,95,100,84,74,73,71,
113,12353,12314,12417,12391,12365,12391,12365,12275,12301,12288,12275,12262,12275,11808,12109,137,12237,12224,12147,12198,76,12160,12147,12147,12109,12109,10746,11360,11808,12046,12109,12198,12211,12147,12160,12160,12135,12160,12211,12365,11870,12046,74,12211,12185,10997,11360,11771,11515,10757,12122,11710,12211,12262,12262,12224,12211,12224,291,12211,12198,12224,12198,12084,12122,9617,9924,10273,10893,10457,10939,10414,10905,11564,11958,12046,12008,12058,12198,12211,12173,12211,12109,10273,10060,10656,27,70,60,58,59,64,70,76,80,65,58,58,56,
114,12314,12314,12417,12391,12378,12365,12353,12275,12301,12275,12301,12262,12288,11858,12147,116,12262,12211,12147,12198,60,12160,12147,12109,12109,12084,10780,11371,11858,12046,12109,12198,12224,12135,12147,12147,12109,12122,12211,12365,11908,12046,61,12211,12160,11043,11371,11846,11539,10769,12147,11710,12211,12262,12262,12237,12211,12237,210,12224,12185,12211,12211,12058,12109,9637,9965,10327,10916,10490,10997,10457,10905,11588,11958,12058,12008,12058,12211,12185,12211,12211,12122,10327,10060,10668,21,58,51,49,50,52,58,60,63,52,49,47,44,
115,12365,12353,12391,12391,12365,12365,12365,12275,12314,12275,12275,12262,12275,11858,12160,102,12237,12211,12135,12160,49,12160,12135,12135,12109,12109,10814,11395,11883,12058,12147,12211,12211,12135,12160,12147,12122,12147,12211,12365,11920,12058,50,12211,12173,11043,11395,11846,11564,10814,12185,11734,12211,12262,12262,12224,12211,12224,172,12224,12173,12211,12185,12084,12135,9617,9945,10327,10916,10490,10997,10446,10905,11612,11983,12058,12008,12046,12185,12211,12185,12185,12135,10327,10091,10701,17,48,42,41,42,43,48,48,50,44,41,40,39,
116,12365,12353,12391,12365,12365,12365,12353,12314,12288,12275,12275,12262,12314,11908,12160,85,12224,12211,12160,12173,42,12160,12122,12122,12109,12084,10837,11407,11467,12084,12135,12211,12211,12147,12160,12160,12122,12147,12224,12353,11958,12058,43,12224,12160,11089,11407,11858,11588,10814,12173,11771,12224,12262,12262,12224,12211,12237,135,12211,12147,12211,12173,12084,12084,9637,9945,10327,10939,10512,10997,10457,10939,11612,11958,12058,12008,12046,12211,12185,12198,12211,12135,10370,10102,10701,14,40,36,35,36,38,40,42,44,38,35,34,34,
117,12391,12353,12391,12391,12353,12365,12365,12288,12275,12301,12288,12262,12275,11958,12173,66,12224,12211,12147,12185,36,12135,12135,12109,12096,12109,10859,11467,1853,12084,12160,12211,12211,12147,12147,12147,12122,12160,12211,12365,12008,12046,37,12224,12185,11089,11443,11870,11637,10814,12211,11759,12224,12275,12262,12224,12211,12237,115,12211,12147,12211,12173,12084,12109,9637,9986,10338,10974,10545,11043,10457,10939,11661,11958,12058,12021,12071,12211,12198,12147,12198,12135,10370,10113,10712,12,35,33,32,27,33,35,36,37,33,32,28,27,
118,12365,12353,12417,5780,12391,11277,12353,9945,12301,12301,12262,12275,12275,11958,12173,53,12237,12198,12122,12185,32,12122,12147,12109,12084,12096,10893,11479,762,12084,12160,12211,12211,12122,12147,12160,12109,12147,12185,12365,12021,12058,32,12237,12160,11112,11467,11908,11649,10825,12198,11808,12211,12275,12262,12224,12211,12262,103,12224,12173,12211,12160,12084,12109,9667,10018,10370,10985,10545,11066,10490,10985,11673,11958,12058,12008,12058,12211,12185,12160,12185,12109,10370,10113,10757,11,28,24,21,22,26,28,31,32,26,23,22,21,
119,11698,5601,4523,1289,10859,1587,2713,1880,2443,5696,7165,9872,11908,11958,11759,46,11759,12058,12147,12173,24,12147,12147,12122,12109,12109,10905,11515,451,12109,7217,12211,12033,12122,12109,12122,12109,11710,12185,12353,12033,12058,25,12211,12160,11136,11467,11933,11649,10859,12211,11808,12262,12275,12262,12262,12211,12211,81,12211,12173,12211,12173,12058,12109,9688,10028,10370,10997,10545,11078,10512,11043,11710,12008,12058,12008,12046,12185,12198,12185,12185,12135,10392,10134,10769,10,22,19,17,18,20,22,23,25,20,18,17,18,
